id,date,text,fav,rt,quote,reply
1362451322629353477,2021-02-18T17:18:03Z,"goal apples, painted by mary daisy arnold, 1912 https://t.co/2Nh11eSfxL",16,2,NA,NA
1362406022128705539,2021-02-18T14:18:02Z,"chicago apples, painted by bertha heiges, 1904 https://t.co/eUzjmKJQ7y",13,2,NA,NA
1362360722550784003,2021-02-18T11:18:02Z,"primate apples, painted by mary daisy arnold, 1925 https://t.co/FSqE2a3KKq",25,3,NA,NA
1362315423945945090,2021-02-18T08:18:02Z,"edgewood peaches, painted by mary daisy arnold, 1915 https://t.co/Ltye2Sx6a9",47,9,NA,NA
1362270129963208706,2021-02-18T05:18:03Z,"three w strawberries, painted by ellen isham schutt, 1907 https://t.co/jBwtrInXWt",61,11,NA,NA
1362224829454163970,2021-02-18T02:18:02Z,"cliff apples, painted by mary daisy arnold, 1933 https://t.co/RvnqG406Up",25,1,NA,NA
1362179528727011330,2021-02-17T23:18:02Z,"annurco apples, painted by royal charles steadman, 1927 https://t.co/hm5r8oFWtR",26,6,NA,NA
1362134233674752000,2021-02-17T20:18:03Z,"florence apples, painted by amanda almira newton, 1921 https://t.co/2ac6ouHnzS",16,2,NA,NA
1362088931911639041,2021-02-17T17:18:02Z,"young america crab crab apple, painted by mary daisy arnold, 1935 https://t.co/Dd4749CcOI",27,6,NA,NA
1362043636473495556,2021-02-17T14:18:03Z,"red canada apples, painted by amanda almira newton, 1916 https://t.co/ExPdiUfIcK",23,2,NA,NA
1361998336895578114,2021-02-17T11:18:02Z,"crittenden plums, painted by royal charles steadman, 1930 https://t.co/RUsS6NX55g",22,2,NA,NA
1361953040278843393,2021-02-17T08:18:03Z,"baldwin pears, painted by royal charles steadman, 1930 https://t.co/LOpT4w0ph3",38,8,NA,NA
1361907737802665984,2021-02-17T05:18:02Z,"keeper apples, painted by ellen isham schutt, 1903 https://t.co/sli6cXudo3",20,7,NA,NA
1361862442360270848,2021-02-17T02:18:03Z,"oranges, painted by james marion shull, 1910 https://t.co/PQ5Dthka7x",28,3,NA,NA
1361817142568448000,2021-02-16T23:18:02Z,"florida bartlett pears, painted by bertha heiges, 1904 https://t.co/nMXcDF9GBn",36,9,NA,NA
1361771845289082881,2021-02-16T20:18:03Z,"new prolific peaches, painted by mary daisy arnold, 1911 https://t.co/58aEOxRkIb",54,13,NA,NA
1361726546940030979,2021-02-16T17:18:03Z,"winter banana apples, painted by james marion shull, 1913 https://t.co/cnaaKGmfus",23,3,NA,NA
1361681247039201284,2021-02-16T14:18:02Z,"sour x 2/3 oranges, painted by james marion shull, 1923 https://t.co/pD2hVhaswi",88,20,NA,NA
1361635945401868290,2021-02-16T11:18:02Z,"soulard apples, painted by royal charles steadman, 1923 https://t.co/92dYNnmgG4",26,3,NA,NA
1361590648965451781,2021-02-16T08:18:02Z,"mannings red apples, painted by bertha heiges, 1900 https://t.co/acEaEvU5sg",20,1,NA,NA
1361545352759840768,2021-02-16T05:18:03Z,"oliver peaches, painted by ellen isham schutt, 1905 https://t.co/gVPcFP8noN",45,6,NA,NA
1361500051294408704,2021-02-16T02:18:02Z,"lawson pears, painted by deborah griscom passmore, 1895 https://t.co/2WaaQD6HjZ",38,8,NA,NA
1361454752622546944,2021-02-15T23:18:02Z,"titovka apples, painted by deborah griscom passmore https://t.co/gzgaIMSDhw",34,7,NA,NA
1361409455791906816,2021-02-15T20:18:02Z,"chenango apples, painted by ellen isham schutt, 1911 https://t.co/6nvq4J6mai",39,4,NA,NA
1361364156528566273,2021-02-15T17:18:02Z,"skeels pippin apples, painted by deborah griscom passmore, 1898 https://t.co/bfCKuq65gM",36,6,NA,NA
1361318858720645120,2021-02-15T14:18:02Z,"crimson beauty apples, painted by royal charles steadman, 1930 https://t.co/Lr7LnC72SL",42,4,NA,NA
1361273560782675969,2021-02-15T11:18:02Z,"ben davis apples, painted by james marion shull, 1918 https://t.co/A0cXTeFy8l",42,3,NA,NA
1361228261544456202,2021-02-15T08:18:02Z,"jonathan apples, painted by ellen isham schutt, 1912 https://t.co/OPBpfp7z81",27,3,NA,NA
1361182961240956928,2021-02-15T05:18:02Z,"red june apples, painted by bertha heiges, 1898 https://t.co/piA9k4uezx",33,3,NA,NA
1361137663504306176,2021-02-15T02:18:02Z,"tompkins king apples, painted by deborah griscom passmore, 1899 https://t.co/nzEbReQCaF",32,6,NA,NA
1361092367088979968,2021-02-14T23:18:02Z,"baxter apples, painted by ellen isham schutt, 1911 https://t.co/Z3gCt4u7PE",28,5,NA,NA
1361047067062337542,2021-02-14T20:18:02Z,"marsh seedless grapefruits, painted by royal charles steadman, 1916 https://t.co/MmS7VHwe1z",67,13,NA,NA
1361001768604160000,2021-02-14T17:18:02Z,"newtown spitzenburg apples, painted by ellen isham schutt, 1904 https://t.co/pUz2E3nCLF",20,1,NA,NA
1360956471463215105,2021-02-14T14:18:02Z,"mouse apples, painted by william henry prestele, 1894 https://t.co/PXHREScoQL",22,4,NA,NA
1360911174980694021,2021-02-14T11:18:03Z,"sweet orange apples, painted by elsie e. lower, 1904 https://t.co/hfgpbj8hQi",29,3,NA,NA
1360865876296146944,2021-02-14T08:18:03Z,"le conte pears, painted by bertha heiges, 1901 https://t.co/pBI4oVbnCe",21,2,NA,NA
1360820576772780032,2021-02-14T05:18:02Z,"lemons, painted by amanda almira newton, 1909 https://t.co/NjLh2Ymcdr",94,17,NA,NA
1360775278939660292,2021-02-14T02:18:03Z,"piedmont apples, painted by deborah griscom passmore, 1899 https://t.co/2t9sjFwaNa",38,4,NA,NA
1360729978183192576,2021-02-13T23:18:02Z,"black gilliflower apples, painted by deborah griscom passmore, 1892 https://t.co/uo2GHEIHIT",44,6,NA,NA
1360684678869524481,2021-02-13T20:18:02Z,"abernathy apples, painted by amanda almira newton, 1921 https://t.co/1GbCVtdo2b",32,4,NA,NA
1360639383095832576,2021-02-13T17:18:03Z,"perfection peaches, painted by elsie e. lower, 1910 https://t.co/HxxPxKx6Op",34,5,NA,NA
1360594082368610311,2021-02-13T14:18:02Z,"masons orange apples, painted by royal charles steadman, 1918 https://t.co/ydIKavViPW",22,1,NA,NA
1360548783226978311,2021-02-13T11:18:02Z,"elberta peaches, painted by james marion shull, 1912 https://t.co/s0YkVggJa3",26,4,NA,NA
1360503487604301827,2021-02-13T08:18:03Z,"yellow washington apples, painted by elsie e. lower, 1911 https://t.co/NwyV82EGdj",23,4,NA,NA
1360458187309150208,2021-02-13T05:18:02Z,"taft avocados, painted by mary daisy arnold, 1916 https://t.co/Zw8BbCVXCB",94,19,NA,NA
1360412889601822722,2021-02-13T02:18:02Z,"lemons, painted by james marion shull, 1928 https://t.co/w6f7v4t3hE",63,6,NA,NA
1360367590544089088,2021-02-12T23:18:02Z,"hutchins red apples, painted by amanda almira newton, 1908 https://t.co/RlUi09hcBA",22,1,NA,NA
1360322291406577666,2021-02-12T20:18:02Z,"twenty ounce apples, painted by royal charles steadman, 1926 https://t.co/VaGiphRIQd",23,2,NA,NA
1360276993535692805,2021-02-12T17:18:02Z,"august sweet apples, painted by mary daisy arnold, 1937 https://t.co/HzsL7HubM5",31,2,NA,NA
1360231694465257472,2021-02-12T14:18:02Z,"hall plums, painted by james marion shull https://t.co/NkRPp0yfx8",53,5,NA,NA
1360186397571842053,2021-02-12T11:18:02Z,"indiana strawberries, painted by amanda almira newton, 1912 https://t.co/W9DSsTXN1V",88,25,NA,NA
1360141096601362435,2021-02-12T08:18:02Z,"shasta blood apples, painted by deborah griscom passmore, 1895 https://t.co/QKBvg8IUil",73,14,NA,NA
1360095798264885249,2021-02-12T05:18:02Z,"winter paradise apples, painted by ellen isham schutt, 1905 https://t.co/gbJHXztBBA",42,10,NA,NA
1360050500742250498,2021-02-12T02:18:02Z,"bombay yellow mangoes, painted by mary daisy arnold, 1913 https://t.co/2dKgBd1YTW",36,6,NA,NA
1360005204419112962,2021-02-11T23:18:03Z,"cornell fancy apples, painted by deborah griscom passmore, 1907 https://t.co/1NpCWq66uc",55,9,NA,NA
1359959917327618048,2021-02-11T20:18:05Z,"kieffer pears, painted by royal charles steadman, 1925 https://t.co/ZpUGU7f6TI",23,7,NA,NA
1359914617565179904,2021-02-11T17:18:05Z,"lue gim gong oranges, painted by ellen isham schutt, 1913 https://t.co/ipMw0k1gZR",39,6,NA,NA
1359869314443079681,2021-02-11T14:18:04Z,"gage peaches, 1934 https://t.co/CehYZ3L08k",40,9,NA,NA
1359824014319886338,2021-02-11T11:18:03Z,"winesap apples, painted by deborah griscom passmore, 1909 https://t.co/QvfOlRUPeo",39,15,NA,NA
1359778711252312064,2021-02-11T08:18:02Z,"apples, painted by james marion shull, 1912 https://t.co/QsRBDK8r5B",34,11,NA,NA
1359733411590467589,2021-02-11T05:18:02Z,"champagne loquats, painted by royal charles steadman, 1919 https://t.co/OpfrnzBZue",68,13,NA,NA
1359688113447079937,2021-02-11T02:18:02Z,"morgans seedling apples, painted by deborah griscom passmore, 1901 https://t.co/6G3yVWBH3w",27,7,NA,NA
1359642814707945472,2021-02-10T23:18:02Z,"collins apples, painted by bertha heiges, 1898 https://t.co/TTi0jUmQ06",24,2,NA,NA
1359597517592092674,2021-02-10T20:18:02Z,"newtown apples, painted by james marion shull, 1909 https://t.co/9FOTZzv7Mw",25,2,NA,NA
1359552217716457472,2021-02-10T17:18:02Z,"yellow newtown apples, painted by ellen isham schutt, 1914 https://t.co/1oxkpWlOsZ",26,3,NA,NA
1359506920684408833,2021-02-10T14:18:02Z,"apples, painted by james marion shull, 1913 https://t.co/n6J7fvwwCz",30,2,NA,NA
1359461621559554052,2021-02-10T11:18:02Z,"peaches, painted by james marion shull, 1913 https://t.co/SDDh2MDcj9",47,5,NA,NA
1359416322518470656,2021-02-10T08:18:02Z,"crothers late peaches, painted by elsie e. lower, 1910 https://t.co/JG5QLvlcTX",40,3,NA,NA
1359371025079623680,2021-02-10T05:18:02Z,"winesap apples, painted by amanda almira newton, 1912 https://t.co/tK52zNo1An",54,11,NA,NA
1359325726613229568,2021-02-10T02:18:02Z,"lyon avocados, painted by royal charles steadman, 1919 https://t.co/8gWferodDz",49,8,NA,NA
1359280426871754753,2021-02-09T23:18:02Z,"mulgoba mangoes, painted by james marion shull, 1912 https://t.co/THpj3jponO",92,16,NA,NA
1359235130317963268,2021-02-09T20:18:03Z,"whetstone apples, painted by mary daisy arnold, 1937 https://t.co/Gv0sHGSZgz",23,2,NA,NA
1359189831738249219,2021-02-09T17:18:03Z,"sutton apples, painted by mary daisy arnold, 1912 https://t.co/fBSHJSG8SA",32,5,NA,NA
1359144530411364354,2021-02-09T14:18:02Z,"silver figs, painted by mary daisy arnold, 1911 https://t.co/S2JLSvPFT2",51,11,NA,NA
1359099231684890627,2021-02-09T11:18:02Z,"moyers prize apples, painted by bertha heiges, 1903 https://t.co/GH2NadG3n5",23,1,NA,NA
1359053933243637770,2021-02-09T08:18:02Z,"florida late grapefruits, painted by amanda almira newton, 1909 https://t.co/GyIWqYGl6f",29,5,NA,NA
1359008635037261824,2021-02-09T05:18:02Z,"wine apples, painted by deborah griscom passmore, 1894 https://t.co/j3he7ix0je",43,11,NA,NA
1358963335270592515,2021-02-09T02:18:02Z,"mcintosh apples, painted by james marion shull, 1919 https://t.co/lOWHeXDkB3",60,10,NA,NA
1358918040998408193,2021-02-08T23:18:03Z,"newfane apples, painted by james marion shull, 1938 https://t.co/N8uzhAeUK7",26,3,NA,NA
1358872742024552448,2021-02-08T20:18:02Z,"greenville apples, painted by mary daisy arnold, 1912 https://t.co/D3QxJ1DMSN",39,3,NA,NA
1358827441590992897,2021-02-08T17:18:02Z,"nellie seedling peaches, painted by ellen isham schutt, 1913 https://t.co/wxbetS9C28",42,6,NA,NA
1358782144231837702,2021-02-08T14:18:02Z,"valencia oranges, painted by james marion shull, 1910 https://t.co/1N6OZqTCYt",26,3,NA,NA
1358736846746832898,2021-02-08T11:18:03Z,"winter green apples, painted by mary daisy arnold, 1928 https://t.co/mFPj39BscW",26,2,NA,NA
1358691548293074945,2021-02-08T08:18:03Z,"bing cherries, painted by royal charles steadman, 1929 https://t.co/rdtmrq5jRF",63,6,NA,NA
1358646246492131328,2021-02-08T05:18:02Z,"bartlett select pears, painted by deborah griscom passmore https://t.co/rHhtjN3JWL",47,8,NA,NA
1358600950936571904,2021-02-08T02:18:02Z,"grapefruits, painted by james marion shull, 1923 https://t.co/gNp7qPKFQE",72,10,NA,NA
1358555652054867969,2021-02-07T23:18:02Z,"winter harvey apples, painted by amanda almira newton, 1913 https://t.co/M5wkjJAaC0",35,4,NA,NA
1358510352967716865,2021-02-07T20:18:02Z,"geer cherries, painted by deborah griscom passmore, 1897 https://t.co/83Zmdci5lX",49,9,NA,NA
1358465054073495552,2021-02-07T17:18:02Z,"tom watson watermelons, painted by royal charles steadman, 1916 https://t.co/dgtNyzSDWF",56,11,NA,NA
1358419754713665536,2021-02-07T14:18:02Z,"huntsman apples, painted by royal charles steadman, 1918 https://t.co/HqdgKQNbJB",31,7,NA,NA
1358374455437709317,2021-02-07T11:18:02Z,"augustine winter apples, painted by mary daisy arnold, 1928 https://t.co/xOc836QulO",20,5,NA,NA
1358329157248192512,2021-02-07T08:18:02Z,"red stetiner apples, painted by deborah griscom passmore, 1901 https://t.co/ZLLaRFtWcU",15,5,NA,NA
1358283858559475715,2021-02-07T05:18:02Z,"courtland apples, painted by royal charles steadman, 1933 https://t.co/ZAmIaNZnAW",23,2,NA,NA
1358238561661714433,2021-02-07T02:18:02Z,"crawford peaches, painted by james marion shull, 1909 https://t.co/UZzB5DxuLT",65,9,NA,NA
1358193261786001408,2021-02-06T23:18:02Z,"greensboro peaches, painted by bertha heiges, 1900 https://t.co/rmqkcAn66b",38,4,NA,NA
1358147964980457473,2021-02-06T20:18:02Z,"lucy duke pears, painted by bertha heiges, 1899 https://t.co/BN4ZuoRh8I",37,5,NA,NA
1358102668724473860,2021-02-06T17:18:03Z,"black annette apples, painted by deborah griscom passmore, 1896 https://t.co/o5JaoinwPa",28,3,NA,NA
1358057369133928448,2021-02-06T14:18:02Z,"cox golden apples, painted by deborah griscom passmore, 1901 https://t.co/dTl77jJFOu",33,3,NA,NA
1358012069807755264,2021-02-06T11:18:02Z,"gandy strawberries, painted by ellen isham schutt, 1905 https://t.co/CajZWLtxSz",72,15,NA,NA
1357966771865538563,2021-02-06T08:18:02Z,"hickory, painted by bertha heiges, 1905 https://t.co/O6veWfY9uQ",41,6,NA,NA
1357921473915097089,2021-02-06T05:18:02Z,"j.h. hale peaches, painted by mary daisy arnold, 1912 https://t.co/4YuOH01l8t",47,7,NA,NA
1357876172927819777,2021-02-06T02:18:02Z,"northern spy apples, painted by amanda almira newton, 1907 https://t.co/4Tagi1y3k0",40,10,NA,NA
1357830876608958464,2021-02-05T23:18:02Z,"mother apples, painted by royal charles steadman, 1918 https://t.co/n2PfEpgAjW",30,8,NA,NA
1357785577362399233,2021-02-05T20:18:02Z,"hiley peaches, painted by james marion shull, 1917 https://t.co/2lpp6y88vp",65,12,NA,NA
1357740278182907908,2021-02-05T17:18:02Z,"waverly apples, painted by deborah griscom passmore, 1902 https://t.co/d8BX27wLZB",26,3,NA,NA
1357694981448736769,2021-02-05T14:18:02Z,"sidney cherries, painted by amanda almira newton, 1922 https://t.co/jGR5y6uCqc",78,17,NA,NA
1357649681656864771,2021-02-05T11:18:02Z,"early mcintosh apples, painted by james marion shull, 1933 https://t.co/jaZtR3bDn1",26,5,NA,NA
1357604381508521984,2021-02-05T08:18:02Z,"tonebawa grapes, painted by royal charles steadman https://t.co/ZWMG8c6ENo",41,11,NA,NA
1357559084476551171,2021-02-05T05:18:02Z,"perfecto avocados, 1932 https://t.co/Onibtta0L8",75,11,NA,NA
1357513786018566144,2021-02-05T02:18:02Z,"emma peaches, painted by ellen isham schutt, 1904 https://t.co/13bSNz7EP4",34,8,NA,NA
1357468489418567681,2021-02-04T23:18:03Z,"summer pearmain apples, painted by mary daisy arnold, 1925 https://t.co/BFrVB7jL4a",22,4,NA,NA
1357423190318882816,2021-02-04T20:18:02Z,"summer queen apples, painted by elsie e. lower, 1906 https://t.co/aT6KM0qKg2",23,4,NA,NA
1357377889981714432,2021-02-04T17:18:02Z,"royal duke cherries, painted by amanda almira newton, 1910 https://t.co/WEYOmTz2ar",47,6,NA,NA
1357332592832376838,2021-02-04T14:18:02Z,"beers late peaches, painted by elsie e. lower, 1908 https://t.co/o8NBwH1zCl",43,2,NA,NA
1357287294227542016,2021-02-04T11:18:02Z,"mcclellan apples, painted by amanda almira newton, 1909 https://t.co/CeG0NyfRKy",26,2,NA,NA
1357241996021174273,2021-02-04T08:18:02Z,"smokehouse apples, painted by royal charles steadman, 1922 https://t.co/mRFD1NgghU",30,5,NA,NA
1357196697676357647,2021-02-04T05:18:02Z,"ortley apples, painted by royal charles steadman, 1927 https://t.co/3I7TQ9cgSs",36,6,NA,NA
1357151400367693827,2021-02-04T02:18:03Z,"boskoop apples, painted by royal charles steadman, 1924 https://t.co/ehZHbcrRWH",18,1,NA,NA
1357106100449910785,2021-02-03T23:18:02Z,"blenheim pippin apples, painted by bertha heiges, 1901 https://t.co/Ok8qxKRtPG",42,5,NA,NA
1357060802235092993,2021-02-03T20:18:02Z,"krummels october peaches, painted by amanda almira newton, 1913 https://t.co/hswXKOFIQm",31,5,NA,NA
1357015504083292163,2021-02-03T17:18:02Z,"parsons strawberries, painted by ellen isham schutt, 1912 https://t.co/1766cWkQQ2",62,14,NA,NA
1356970205952413697,2021-02-03T14:18:03Z,"norton red apples, painted by mary daisy arnold, 1913 https://t.co/fSNKEupx5r",32,1,NA,NA
1356924905829269506,2021-02-03T11:18:02Z,"custard apple, painted by amanda almira newton, 1907 https://t.co/hHwQFeQlsH",44,4,NA,NA
1356879606435835905,2021-02-03T08:18:02Z,"sports of late white peaches, painted by ellen isham schutt, 1906 https://t.co/uVeSzT6xCC",36,4,NA,NA
1356834308363677697,2021-02-03T05:18:02Z,"pineapple pineapples, painted by james marion shull, 1915 https://t.co/Zei4Xb3tn0",60,12,NA,NA
1356789009742061569,2021-02-03T02:18:02Z,"bartlett pears, painted by james marion shull, 1923 https://t.co/7FiVkDieEt",47,5,NA,NA
1356743712932392962,2021-02-02T23:18:02Z,"strodes birmingham apples, painted by bertha heiges, 1898 https://t.co/uVXBUIfEBx",19,1,NA,NA
1356698414906400771,2021-02-02T20:18:03Z,"statesman apples, painted by james marion shull, 1935 https://t.co/iG4bR3Spsv",25,2,NA,NA
1356653114141540354,2021-02-02T17:18:02Z,"ryckman strawberries, painted by ellen isham schutt, 1907 https://t.co/rj4rukROkN",75,23,NA,NA
1356607818149756928,2021-02-02T14:18:03Z,"ellis peaches, painted by mary daisy arnold, 1938 https://t.co/vsOoHuopDB",43,5,NA,NA
1356562516894052358,2021-02-02T11:18:02Z,"vandevere apples, painted by royal charles steadman, 1925 https://t.co/YyRhY4YFau",23,2,NA,NA
1356517221053288450,2021-02-02T08:18:03Z,"duncan grapefruits, painted by royal charles steadman, 1918 https://t.co/uwfHbeablx",24,3,NA,NA
1356471920259080192,2021-02-02T05:18:02Z,"conkling peaches, painted by amanda almira newton, 1911 https://t.co/O69qj0fCYx",44,7,NA,NA
1356426624367874048,2021-02-02T02:18:03Z,"godbeys seedless persimmons, painted by deborah griscom passmore, 1909 https://t.co/8sBfmIKD9J",52,8,NA,NA
1356381325050015746,2021-02-01T23:18:02Z,pears https://t.co/F5FDRKdpE3,42,2,NA,NA
1356336024465522688,2021-02-01T20:18:02Z,"apples, painted by mary daisy arnold, 1929 https://t.co/T5WoR12uLY",37,4,NA,NA
1356290730193379332,2021-02-01T17:18:03Z,"improved shockley apples, painted by bertha heiges, 1905 https://t.co/d15JSe0Ltd",26,4,NA,NA
1356245429688496128,2021-02-01T14:18:02Z,"armstrong strawberries, painted by deborah griscom passmore, 1900 https://t.co/guew0dILw7",68,13,NA,NA
1356200131008155650,2021-02-01T11:18:02Z,"murphys greening apples, painted by bertha heiges, 1900 https://t.co/oa1ncO4eNn",19,3,NA,NA
1356154833699438594,2021-02-01T08:18:03Z,"mrs. dallas apples, painted by deborah griscom passmore, 1895 https://t.co/CGQRLY2r80",25,3,NA,NA
1356109535325241346,2021-02-01T05:18:03Z,"hackman apples, painted by elsie e. lower, 1910 https://t.co/Qj4S6bwCzS",27,5,NA,NA
1356064233968988162,2021-02-01T02:18:02Z,"corsican lemons, painted by deborah griscom passmore, 1899 https://t.co/nut5RshYuu",89,18,NA,NA
1356018937780084737,2021-01-31T23:18:03Z,"renetta dorata apples, painted by mary daisy arnold, 1939 https://t.co/EhtrpuHYGn",31,3,NA,NA
1355973637111599104,2021-01-31T20:18:02Z,"mcintosh apples, painted by royal charles steadman, 1926 https://t.co/JPlNdd8pj0",19,4,NA,NA
1355928341048516609,2021-01-31T17:18:03Z,"garber pears, painted by deborah griscom passmore, 1898 https://t.co/YkFQtUNAeG",21,3,NA,NA
1355883041114083328,2021-01-31T14:18:02Z,"mish grapes, painted by amanda almira newton https://t.co/zDASNlOp67",46,8,NA,NA
1355837744103055363,2021-01-31T11:18:03Z,"eiser apples, painted by deborah griscom passmore, 1903 https://t.co/cTj5gO84TG",16,1,NA,NA
1355792443887603713,2021-01-31T08:18:02Z,"richared apples, painted by mary daisy arnold, 1932 https://t.co/48k8dwTfwm",33,9,NA,NA
1355747143684747265,2021-01-31T05:18:02Z,"missouri pippin apples, painted by ellen isham schutt, 1912 https://t.co/f7my54vOPb",32,7,NA,NA
1355701846136897536,2021-01-31T02:18:02Z,"peaches, painted by james marion shull, 1933 https://t.co/19Zs8qrG9b",49,7,NA,NA
1355656547884363778,2021-01-30T23:18:02Z,"washington navel oranges, painted by deborah griscom passmore, 1904 https://t.co/lMzDSgNJbE",44,6,NA,NA
1355611252236554240,2021-01-30T20:18:03Z,"kieffer cross pears, painted by james marion shull, 1917 https://t.co/jnK68HwXXt",43,11,NA,NA
1355565950389501952,2021-01-30T17:18:02Z,"mantovans apples, painted by mary daisy arnold, 1939 https://t.co/ELqV5XFPRn",17,1,NA,NA
1355520652862574596,2021-01-30T14:18:02Z,"mcclellan apples, painted by amanda almira newton, 1909 https://t.co/CNSnouJAvb",24,3,NA,NA
1355475352814903301,2021-01-30T11:18:02Z,"ben hur apples, painted by royal charles steadman, 1923 https://t.co/EMY4KkmCtD",24,5,NA,NA
1355430057095745537,2021-01-30T08:18:02Z,"texas king peaches, painted by deborah griscom passmore, 1903 https://t.co/D56sTrqlvc",32,5,NA,NA
1355384760051265542,2021-01-30T05:18:03Z,"berry red apples, painted by deborah griscom passmore, 1896 https://t.co/YjSxLWuyY7",32,5,NA,NA
1355339459508666372,2021-01-30T02:18:02Z,"baxter apples, painted by mary daisy arnold, 1916 https://t.co/6nsY215WEC",45,6,NA,NA
1355294161214218243,2021-01-29T23:18:02Z,"ensee apples, painted by amanda almira newton, 1906 https://t.co/QmpWPFRUQE",38,2,NA,NA
1355248864274522113,2021-01-29T20:18:03Z,"jeanne hardy apples, 1940 https://t.co/3YzmoqiasM",37,3,NA,NA
1355203565921341442,2021-01-29T17:18:03Z,"variagated lemons, painted by amanda almira newton, 1901 https://t.co/ZPtzhNac3j",44,5,NA,NA
1355158265223540742,2021-01-29T14:18:02Z,"howsley apples, painted by deborah griscom passmore, 1902 https://t.co/n1R8CCkbwI",25,2,NA,NA
1355112969114275847,2021-01-29T11:18:03Z,"haynes surprise peaches, painted by deborah griscom passmore, 1900 https://t.co/qmpyO8Rc3v",31,1,NA,NA
1355067669565718530,2021-01-29T08:18:03Z,"jonathan apples, painted by bertha heiges, 1898 https://t.co/q6lbr11A1g",35,3,NA,NA
1355022369870340096,2021-01-29T05:18:02Z,"pears, 1907 https://t.co/QZhVQxq0ne",26,7,NA,NA
1354977071684935682,2021-01-29T02:18:02Z,"mersereau blackberries, painted by royal charles steadman, 1922 https://t.co/9VcU6sQlTA",106,24,NA,NA
1354931774518829062,2021-01-28T23:18:03Z,"petite douce rousse apples, painted by mary daisy arnold, 1930 https://t.co/rs3iuRo9Lo",28,4,NA,NA
1354886472210370561,2021-01-28T20:18:02Z,"acca, painted by royal charles steadman, 1919 https://t.co/cobsIubed3",31,4,NA,NA
1354841174507278337,2021-01-28T17:18:02Z,"colon peaches, painted by deborah griscom passmore, 1903 https://t.co/JKBHI4zAYD",24,2,NA,NA
1354795875680227331,2021-01-28T14:18:02Z,"shelton cherries, painted by deborah griscom passmore, 1901 https://t.co/B21DIaWLCk",44,9,NA,NA
1354750576265883650,2021-01-28T11:18:02Z,"peaches, painted by james marion shull, 1914 https://t.co/lqPAWF455J",34,2,NA,NA
1354705279045095425,2021-01-28T08:18:02Z,grapefruits https://t.co/7gG5VpZFtk,33,5,NA,NA
1354659984060018690,2021-01-28T05:18:03Z,"mersereau blackberries, painted by royal charles steadman, 1922 https://t.co/0CCNhkdJdZ",122,21,NA,NA
1354614683873931264,2021-01-28T02:18:02Z,"tallow pippin apples, painted by amanda almira newton, 1904 https://t.co/rPVTfxasOb",36,5,NA,NA
1354569382865760256,2021-01-27T23:18:02Z,"granny smith apples, painted by royal charles steadman, 1925 https://t.co/kzyff8ZmFF",41,5,NA,NA
1354524086379048961,2021-01-27T20:18:02Z,"moores sugar pears, painted by deborah griscom passmore, 1896 https://t.co/2sKqoO4dHx",55,14,NA,NA
1354478788340371456,2021-01-27T17:18:02Z,"conner prolific grapefruits, painted by amanda almira newton, 1908 https://t.co/uMSpo30jDj",43,8,NA,NA
1354433487256739840,2021-01-27T14:18:02Z,"kieffer cross pears, painted by james marion shull, 1919 https://t.co/uwk9lql3pE",30,3,NA,NA
1354388188643512321,2021-01-27T11:18:02Z,"washington navel oranges, painted by ellen isham schutt, 1913 https://t.co/L5xKTlyGTe",56,11,NA,NA
1354342893582835712,2021-01-27T08:18:02Z,"worthen peaches, painted by deborah griscom passmore, 1903 https://t.co/GlVjcASdQB",17,0,NA,NA
1354297595418484739,2021-01-27T05:18:03Z,"willow apples, painted by royal charles steadman, 1925 https://t.co/Rr4mBXRRB5",40,5,NA,NA
1354252295395897346,2021-01-27T02:18:02Z,"dickey avocados, painted by amanda almira newton, 1916 https://t.co/WO8BnTHiof",49,7,NA,NA
1354206996124233729,2021-01-26T23:18:02Z,"wardwell sweet apples, painted by ellen isham schutt, 1912 https://t.co/WgmoDSLNrL",35,1,NA,NA
1354161698353995777,2021-01-26T20:18:02Z,"ronk apples, painted by deborah griscom passmore, 1900 https://t.co/xDIcmF0dR7",31,3,NA,NA
1354116400105701379,2021-01-26T17:18:02Z,"early avocados, painted by deborah griscom passmore, 1906 https://t.co/cDNUodwE0b",58,10,NA,NA
1354071101869936640,2021-01-26T14:18:02Z,"mish grapes, painted by amanda almira newton https://t.co/0WvGb6mzbe",38,8,NA,NA
1354025800849256448,2021-01-26T11:18:02Z,"apples, painted by james marion shull, 1916 https://t.co/L7Nym7mn8N",34,5,NA,NA
1353980502810652672,2021-01-26T08:18:02Z,"late admirable peaches, painted by mary daisy arnold, 1910 https://t.co/R6p6MVlymW",31,1,NA,NA
1353935204784586755,2021-01-26T05:18:02Z,"number 10 peaches, painted by l. c. c. krieger, 1938 https://t.co/7yVBzOOf09",39,2,NA,NA
1353889906993467392,2021-01-26T02:18:02Z,"george washington strawberries, painted by mary daisy arnold, 1913 https://t.co/DAxpUSyJGR",63,18,NA,NA
1353844609684660225,2021-01-25T23:18:02Z,"harding apples, painted by bertha heiges, 1901 https://t.co/THs6OfX5dx",23,4,NA,NA
1353799310723301376,2021-01-25T20:18:02Z,"marble apples, painted by mary daisy arnold, 1915 https://t.co/WFY9U5I1h4",35,2,NA,NA
1353754010545647618,2021-01-25T17:18:02Z,"landsberger apples, painted by bertha heiges, 1902 https://t.co/73mVUr76XQ",18,1,NA,NA
